ime,naslov,kraj,ocena,doplacilo,vegetarijansko,dostop_za_invalide,dostava,odprto_ob_vikendih,nov_lokal
KITAJSKA RESTAVRACIJA ZVEZDA,"Loška ulica 10, 2000 Maribor",MARIBOR,5,2.2,DA,NE,NE,DA,NE
KITAJSKA RESTAVRACJA CESARSKA HIŠA-DOSTAVA,"Ankaranska cesta 5B, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,3,4.2,DA,NE,DA,DA,NE
KITAJSKI DVOR,"Teharska cesta 35, 3000 Celje",CELJE,4,2.7,DA,DA,NE,NE,NE
KITAJSKI DVOR,"Dunajska cesta 29, 1000 Ljubljana",LJUBLJANA,4,3.2,DA,NE,NE,NE,NE
KITAJSKI DVOR - DOSTAVA,"Dunajska cesta 29, 1000 Ljubljana",LJUBLJANA,4,3.7,DA,NE,DA,NE,NE
KITAJSKI DVOR - DOSTAVA,"Teharska cesta 35, 3000 Celje",CELJE,3,3.3,DA,NE,DA,NE,NE
KITAJSKO MESTO,"Slamnikarjeva 1, 1230 Domžale",DOMŽALE,5,2.57,DA,DA,NE,DA,NE
KITAJSKO MESTO - DOSTAVA,"Slamnikarjeva 1, 1230 Domžale",DOMŽALE,5,3.87,DA,NE,DA,DA,NE
KLINIKA BAR,"Zaloška cesta 7, 1000 Ljubljana",LJUBLJANA,4,1.3,NE,DA,NE,DA,NE
KLOPČIČ,"Litostrojska cesta 57, 1000 Ljubljana",LJUBLJANA,4,2.57,DA,NE,NE,NE,NE
KLOPČIČ - DOM LITOSTROJ,"Litostrojska cesta 55, 1000 Ljubljana",LJUBLJANA,0,2.57,DA,NE,NE,NE,NE
KRATOCHWILL,"Nemčavci 1d, 9000 Murska Sobota",MURSKA SOBOTA,3,3.27,DA,NE,NE,NE,NE
KURJI TAT,"Tbilisijska 59, 1000 Ljubljana",LJUBLJANA,4,3.27,DA,DA,NE,NE,NE
LA CANTINA,"Ulica Staneta Žagarja 2b, 4240 Radovljica",RADOVLJICA,5,3.37,NE,DA,NE,DA,NE
LA PIZZETA OKREPČEVALNICA,"Slivniška cesta 6, 2311 Hoče",HOČE,4,2.0,DA,NE,NE,NE,NE
LABIRINT,"Čevljarska 9, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,4,3.1,DA,DA,NE,NE,NE
LETEČA ZVEZDA,"Kvedrova cesta 5a, 1000 Ljubljana",LJUBLJANA,0,3.0,DA,NE,NE,NE,NE
LIPCA - INDEKS,"Borštnikov trg 3a, 1000 Ljubljana",LJUBLJANA,4,0.0,DA,NE,NE,DA,NE
LONDON STREET FOOD,"Stossmayerjeva ulica 26, 2000 Maribor",MARIBOR,5,2.97,DA,DA,NE,NE,NE
LOVING HUT,"Gosposvetska cesta 43a, 2000 Maribor",MARIBOR,4,3.3,DA,DA,NE,NE,NE
LOVING HUT LJUBJANA CENTER,"Trg OF 14, 1000 Ljubljana",LJUBLJANA,4,3.5,DA,NE,NE,NE,NE
